term,estimate,std_error,statistic,p_value,individual_id,sex,n_true,n_total,ci_lb,ci_ub,evi_mean_mean,distance_to_water_km_mean,distance_to_settlement_km_mean,human_modification_mean,enerscape_mean,slope_mean,evi_mean_range,distance_to_water_km_range,distance_to_settlement_km_range,human_modification_range,enerscape_range,slope_range
evi_mean,-0.154814561725011,0.0188299484524499,-8.22171989030954,2.00605285838538e-16,ele27,F,18245,200635,-0.191721260691813,-0.117907862758209,2783.41371769997,4.73318106420977,33.3828176146528,0.136163273702628,127.982906593496,0.499841739321824,1647.07592773438,14.2985429763794,25.9546051025391,0.545110672712326,86.8439865112308,5.51353091263445
distance_to_water_km,-0.086922714675335,0.0496556129505188,-1.7505113623701,0.0800301152525919,ele27,F,18245,200635,-0.184247716058352,0.0104022867076818,2783.41371769997,4.73318106420977,33.3828176146528,0.136163273702628,127.982906593496,0.499841739321824,1647.07592773438,14.2985429763794,25.9546051025391,0.545110672712326,86.8439865112308,5.51353091263445
distance_to_settlement_km,0.248979408449732,0.0881365641005925,2.82492755408034,0.00472913072655526,ele27,F,18245,200635,0.0762317428125709,0.421727074086893,2783.41371769997,4.73318106420977,33.3828176146528,0.136163273702628,127.982906593496,0.499841739321824,1647.07592773438,14.2985429763794,25.9546051025391,0.545110672712326,86.8439865112308,5.51353091263445
human_modification,-0.0572219617545971,0.0147408954067727,-3.88185114781472,0.000103664326941498,ele27,F,18245,200635,-0.0861141167518715,-0.0283298067573227,2783.41371769997,4.73318106420977,33.3828176146528,0.136163273702628,127.982906593496,0.499841739321824,1647.07592773438,14.2985429763794,25.9546051025391,0.545110672712326,86.8439865112308,5.51353091263445
enerscape,-0.0112580187592339,0.00780980908411636,-1.44152291534637,0.149437008226875,ele27,F,18245,200635,-0.026565244564102,0.00404920704563412,2783.41371769997,4.73318106420977,33.3828176146528,0.136163273702628,127.982906593496,0.499841739321824,1647.07592773438,14.2985429763794,25.9546051025391,0.545110672712326,86.8439865112308,5.51353091263445
slope,-0.0168070289560446,0.00969628961723678,-1.73334642626261,0.083034113616291,ele27,F,18245,200635,-0.0358117566058287,0.00219769869373951,2783.41371769997,4.73318106420977,33.3828176146528,0.136163273702628,127.982906593496,0.499841739321824,1647.07592773438,14.2985429763794,25.9546051025391,0.545110672712326,86.8439865112308,5.51353091263445
evi_mean,-0.0995053641581188,0.0195900066378691,-5.0793941011621,3.78640515230005e-07,ele28,F,14719,161809,-0.137901777168342,-0.0611089511478953,2845.10755948088,5.3780409056154,28.7502559489612,0.165225504495333,128.009205294351,0.544762613414711,1647.076171875,14.2894449234009,32.0325174331665,0.545110672712326,90.2775115966796,5.39816111588152
distance_to_water_km,-0.0951020471913192,0.0604860007714779,-1.57229848193509,0.115881344947761,ele28,F,14719,161809,-0.213654608703416,0.0234505143207775,2845.10755948088,5.3780409056154,28.7502559489612,0.165225504495333,128.009205294351,0.544762613414711,1647.076171875,14.2894449234009,32.0325174331665,0.545110672712326,90.2775115966796,5.39816111588152
distance_to_settlement_km,0.307765988439203,0.134392811954531,2.29004798666858,0.0220185350470554,ele28,F,14719,161809,0.0443560770083218,0.571175899870084,2845.10755948088,5.3780409056154,28.7502559489612,0.165225504495333,128.009205294351,0.544762613414711,1647.076171875,14.2894449234009,32.0325174331665,0.545110672712326,90.2775115966796,5.39816111588152
human_modification,-0.0510931688383951,0.0157120457463955,-3.25184700089842,0.00114657723314728,ele28,F,14719,161809,-0.0818887785013303,-0.0202975591754599,2845.10755948088,5.3780409056154,28.7502559489612,0.165225504495333,128.009205294351,0.544762613414711,1647.076171875,14.2894449234009,32.0325174331665,0.545110672712326,90.2775115966796,5.39816111588152
